start	end	text
0	6400	Hi, I'm Tiara Vayan. KJZ's audio service is supported by 1AZ Credit Union.
6600	12880	1AZ offers tools to help build personal savings, including traditional savings accounts and share certificates.
13440	16280	Learn more at 1AZCU.com.
20680	29580	This morning, we're hearing at least 700 people are killed on the Israeli side with more than 400 Palestinians dead in Gaza.
30000	31420	from a woman in Gaza.
32000	33840	The last couple of days were harrowing
33840	37520	and the airstrikes were very frequent and huge.
38180	41420	Gaza's very highly dense populated area
41420	45080	with each and every missile very impactful and damaging.
45360	49540	In Israel, rescuers say they found 260 bodies
49540	51160	at the site of a music festival,
51340	53320	the first site attacked by Hamas.
53440	55420	We'll bring you the story of one family
55420	57380	that is looking for their loved ones
57380	59980	that has been taken hostage by the Hamas military.
60000	65820	And in other news, we'll go to Afghanistan, where an earthquake has killed more than 2,000 people.
66020	67540	Rescue efforts are continuing.
67840	69920	But first, we're getting a bulletin of World News.
73430	76730	This is Danielle Yawavetska with the BBC News.
76870	76950	Hello.
77770	85650	The Israeli military says its fighter jets, helicopters and artillery have struck over 500 targets overnight in the Gaza Strip.
86030	92070	Operations are continuing against Palestinian Hamas militants in several locations inside Israel,
92230	95770	two days after they carried out their devastating mass assault.
96350	98410	More than 700 Israelis have been killed.
98810	100230	John Donison is in Jerusalem.
100830	104910	The Israeli military says it has continued to target Hamas infrastructure
104910	106490	with airstrikes overnight.
107010	110670	The United Nations says more than 120,000 Gazans
110670	114610	have now been displaced with many seeking shelter in UN schools.
114970	117330	But most believe this is just the beginning.
117650	120230	Israel is massing its forces around Gaza
120230	122210	and says it has called up around 100,000.
122230	124090	100,000 army reservists.
124530	127790	Palestinians are bracing themselves for a possible ground invasion,
128270	130770	with Israel saying its aim is to rescue hostages
130770	133250	and remove Hamas from power in Gaza.
133730	137070	Health officials in Gaza say more than 400 Palestinians
137070	139790	have been killed so far by Israeli airstrikes.
139930	141950	Over 2,000 people have been injured.
142270	144110	They said power cuts were widespread
144110	146610	and were posing a major challenge for medical workers.
146910	150130	Hamas said it had fired a new barrage of missiles into Israel.
150130	156690	Three U.S. air carriers as well as Air France, Lufthansa and Emirates have suspended flights to Tel Aviv.
157510	161750	The United States says it's sending immediate extra munitions to Israel.
162010	167730	The Pentagon also announced it was deploying naval vessels, including an aircraft carrier to the eastern Mediterranean.
168330	170570	More from Barbara Pletasha in Washington.
170910	177830	The large deployment underscores American concerns that the conflict between Israel and Hamas could draw in other parts of the region.
177830	180110	They're sending an aircraft carrier with a debt.
180130	185630	of warplanes, accompanied by cruisers and destroyers, also extra military assistance, such as
185630	190750	munitions. In particular, they want to prevent Lebanon's powerful Hezbollah movement from joining
