start	end	text
0	6520	Hi, I'm Tiara Vaian. KJZZ's audio service is supported by 1AZ Credit Union.
6760	12200	1AZ offers tools to help build personal savings, including traditional savings accounts and
12200	16600	share certificates. Learn more at 1AZCU.com.
21380	26500	This morning we're hearing at least 700 people are killed on the Israeli side with
26500	31560	more than 400 Palestinians dead in Gaza. We hear from a woman in Gaza.
31960	37680	The last couple of days were harrowing and the airstrikes were very frequent and huge.
38320	43940	Gaza is a very highly dense populated area with each and every missile very impactful
43940	45120	and damaging.
45840	51240	In Israel, rescuers say they found 260 bodies at the site of a music festival,
51360	53460	the first site attacked by Hamas.
53460	57680	We'll bring you the story of one family that is looking for their loved ones that
57680	60440	has been taken hostage by the Hamas militants.
60800	64580	And in other news, we'll go to Afghanistan, where an earthquake has killed more than
64580	69520	2,000 people. Rescue efforts are continuing. But first, we're getting a bulletin of
69520	70060	World News.
73970	77190	This is Danielle Yavavetska with the BBC News. Hello.
77910	83130	The Israeli military says its fighter jets, helicopters and artillery have struck over
83130	88950	500 targets overnight in the Gaza Strip. Operations are continuing against Palestinian
88950	94250	Hamas militants in several locations inside Israel, two days after they carried out
94250	98530	their devastating mass assault. More than 700 Israelis have been killed.
98850	100390	John Donison is in Jerusalem.
101070	106090	The Israeli military says it has continued to target Hamas infrastructure with airstrikes
106090	111950	overnight. The United Nations says more than 120,000 Gazans have now been displaced,
111950	117410	with many seeking shelter in UN schools. But most believe this is just the beginning.
117990	123170	Israel is massing its forces around Gaza and says it has called up around 100,000
123170	127890	army reservists. Palestinians are bracing themselves for a possible ground invasion,
128350	133050	with Israel saying its aim is to rescue hostages and remove Hamas from power in
133050	133370	Gaza.
134050	138390	Health officials in Gaza say more than 400 Palestinians have been killed so far
138390	143670	by Israeli airstrikes. Over 2,000 people have been injured. They said power cuts were
143670	148230	widespread and were posing a major challenge for medical workers. Hamas said it had fired
148230	153090	a new barrage of missiles into Israel. Three US air carriers, as well as Air
153090	156970	France, Lufthansa and Emirates, have suspended flights to Tel Aviv.
158090	162230	The United States says it is sending immediate extra munitions to Israel. The
162230	166410	Pentagon also announced it was deploying naval vessels, including an aircraft carrier,
166410	170690	to the eastern Mediterranean. More from Barbara Platasha in Washington.
171330	175450	The large deployment underscores American concerns that the conflict between Israel
175450	179310	and Hamas could draw in other parts of the region. They are sending an aircraft
179310	184250	carrier with a deck of warplanes, accompanied by cruisers and destroyers. Also extra
184250	186310	military assistance, such as munitions.
186590	190870	In particular, they want to prevent Lebanon's powerful Hezbollah movement from joining
190870	196310	the fight. It is backed by Iran, which also funds and arms Hamas. There are reports
196310	200870	that Iran helped organize the unprecedented attack, although the Secretary of State
200870	204210	Antony Blinken said the US hasn't seen evidence to confirm that.
205110	209310	The UN Security Council has held an emergency closed-door session to
209310	213950	discuss the crisis. The UN Middle East envoy called on countries to exert
213950	218410	diplomatic efforts to restore calm. More from Nedda Taufik in New York.
218950	222750	Council members did not attempt to reach agreement on a statement. Not all,
222750	227830	but many condemned Hamas. The UAE's ambassador to the UN, Lanin Acebe, told
227830	231890	reporters there was real concern that tensions in the region could become
231890	236170	inflamed. Before the meeting, Israel's ambassador to the UN, Gilad Erdan,
236490	240910	showed graphic pictures of Israeli civilians being taken captive by Hamas.
241210	245370	The Palestinian UN ambassador, Riyad Mansour, told reporters he'd
245370	249390	requested an emergency meeting of Arab League states in Cairo.
249390	251390	BBC World News.
253070	257610	An independent inquiry in the UK will begin hearings today into
257610	261570	allegations that British special forces killed dozens of unarmed
261570	266130	civilians, including children in Afghanistan. The inquiry was set up by
266130	269230	the British government after legal action was brought by two Afghan
269230	274270	families. The US Senate Majority Leader Chuck Schumer, who's leading a
274270	278150	bipartisan delegation to China, has met the Foreign Minister Wang Yi.
278670	282070	Mr Schumer is the latest high-level American official to visit as
282070	287170	Washington seeks to ease tensions with Beijing. Regional elections in two
287170	291590	of Germany's largest and wealthiest states, Bavaria and Hesse, have
291590	294750	dealt a blow to the parties that form the centre-left federal
294750	298530	government. Provisional results show losses for the Social Democrats,
298710	302470	the Greens and the liberal Free Democrats. The Christian Democrats
302470	307310	again emerge as the largest party. The president of Ecuador has
307310	311310	extended the state of emergency by 30 days. It's been in place since
311310	314710	the assassination in August of the anti-corruption presidential
314710	318870	candidate Fernando Villavicencio. The extension comes just days
318870	321730	after seven Colombians arrested over the killing were found dead
321730	325630	in prison. A hoard of coins believed to have belonged to a
325630	329070	Highland clan chief, who was murdered more than 300 years ago,
329190	332430	has been found in Scotland. Alexandra McKenzie reports.
333030	336590	The archaeology team from Glasgow University said this was the
336590	340850	first major excavation in Glencoe. The dig focused on scattered
340850	344130	rocks believed to have been the MacDonald clan chief's
344130	347450	summer house. More than 300 years after he died in the
347450	351330	Glencoe massacre, an archaeology student taking part in her
351330	355310	first ever dig found the hoard. The University of Glasgow said
355310	360030	the discovery contained 36 silver and bronze coins. A number of
360030	363410	other artifacts were also discovered at the site, including
363410	367890	a musket and fouling shot, pottery from across Europe and a
367890	370750	powder major. BBC News.
374210	377030	Thank you for that bulletin of news. Hello, your Newsday
377030	379750	from the BBC World Service with Victoria Wohonda and Rob
379750	381810	Young. Coming up this half hour, we're going to continue
381810	385290	to focus on the conflict between Israel and Gaza with
385290	389090	voices from both sides and we'll get all your sports and
389090	390230	business headlines too.
394270	398250	We are starting with the latest development in Israel and
398250	401550	Gaza as the numbers of those killed on both sides goes up
401550	405090	by the hour. The Israeli military says that at least 700
405090	408210	people have died in the attacks overall, with more than
408210	413190	2000 injured. The rescuers say that they found 260 bodies
413190	416410	at the site of a music festival attacked by Hamas
416410	419190	militants in the unprecedented assault on Saturday
419190	420210	morning. The wake of the attack took place on Saturday
420210	422970	The wave of attacks launched by the Hamas militant group
422970	426310	is being described as the biggest escalation between
426310	429630	the two sides for decades. In retaliation, Israel
429630	432930	launched airstrikes that have killed at least 400
432930	436730	people in the Gaza Strip with more than 2000 wounded,
437070	439690	according to the latest update from the Palestinian
439690	443090	officials. Video images show many buildings being
443090	446210	blown up in large-scale destruction. Shops are
446210	449130	closed. The streets are empty. The city is said to
449130	452670	be like a ghost town. According to the United Nations,
453230	457490	123,000 Palestinians have now been displaced in Gaza
457490	460530	because of the airstrikes. And many Palestinians say
460530	463490	they are now living in fear of their lives. In the
463490	465890	last hour, we got this voice note from a resident
465890	469550	in Gaza. The last couple of days were harrowing
469550	474190	and the airstrikes were very frequent and huge. Gaza
474190	478210	is a very highly dense populated area with very
478210	482990	limited geographical area, like with over 2 million
482990	489090	people living in 360 km2, which make it each
489090	492610	and every missile dropped very impactful and damaging.
493570	496950	The offensive launched from Gaza can only be
496950	500730	understood in the context of the Israeli ongoing
500730	504310	decades-long military occupation and settler
504310	507730	colonization of Palestinian land and the
507730	511590	composition of a system of oppression that meets
511590	515390	the legal definition of apartheid. Meanwhile,
515650	518850	Israeli also has maintained a brutal placate
518850	524370	on Gaza for 17 years against Palestinians
527010	531110	refusing its population access to basic supplies
531110	536170	and material needs to survive and trapping them
536170	542030	in amounts to an open air prison with restrictions
542030	544810	on right to movement, right to help and many
544810	549210	other associated basic rights. Yet we were told
549210	552470	as civilians to leave. I mean, leave and go
552470	556730	where? No crossings are open, neither the
556730	559710	sea that is also have restriction to some point.
560410	563390	If you trespass, you can be shot. For the
563390	566610	past few days, hundreds of Palestinians were
566610	569070	killed, including women, children, elderly,
569450	572510	and persons with disabilities. I mean,
572650	575390	thousands of people are internally displaced
575390	579830	to school shelters that not even fully prepared
579830	582570	or equipped to accommodate these numbers and
582570	586750	provide for their needs. I mean, Israel has
586750	588850	to adhere to the international humanitarian
588850	591990	laws in conflict and its principles. These
591990	594710	principles require Israel to respect the
594710	597950	distinction between competence and civilians,
599210	606650	avoid disproportionate use of force, and have
607390	611350	responsibility for the humanitarian supplies
611350	617150	for the population. And now there is limited
619930	624330	electricity and crossings are fully closed to
624330	628650	let in any supplies. But in ground, all that
628650	631730	is happening are against these principles. And
631730	633850	the international community has to play a
633850	636930	role in ending this bloodshed and killing
636930	641150	of civilians. A resident in Gaza there about
