start	end	text
20780	26500	This morning, we're hearing at least 700 people are killed on the Israeli side with
26500	29660	more than 400 Palestinians dead in Gaza.
29660	31560	Today, we hear from a woman in Gaza.
45780	51860	In Israel, rescuers say they found 260 bodies at the site of a music festival, the first
51860	53460	site attacked by Hamas.
53660	57660	We'll bring you the story of one family that is looking for their loved ones that
57660	60440	has been taken hostage by the Hamas militants.
60700	65460	And in other news, we'll go to Afghanistan, where an earthquake has killed more than 2,000
65460	65920	people.
66220	67660	Rescue efforts are continuing.
67840	70020	But first, we're getting a bulletin of World News.
73870	76770	This is Danielle Yawowiecki with the BBC News.
76870	77210	Hello.
77830	83130	The Israeli military says its fighter jets, helicopters and artillery have struck over
83130	86050	500 targets overnight in the Gaza Strip.
86050	91650	Operations are continuing against Palestinian Hamas militants in several locations inside
91650	95850	Israel two days after they carried out their devastating mass assault.
96350	98590	More than 700 Israelis have been killed.
98870	100390	John Donison is in Jerusalem.
101170	106110	The Israeli military says it has continued to target Hamas infrastructure with airstrikes
106110	106630	overnight.
107350	112670	The United Nations says more than 120,000 Gazans have now been displaced, with many
112670	114710	seeking shelter in UN schools.
114710	117450	But most believe this is just the beginning.
117990	123190	Israel is massing its forces around Gaza and says it has called up around 100,000
123190	124450	army reservists.
124650	129130	Palestinians are bracing themselves for a possible ground invasion, with Israel saying
129130	133390	its aim is to rescue hostages and remove Hamas from power in Gaza.
134010	138370	Health officials in Gaza say more than 400 Palestinians have been killed so far
138370	140030	by Israeli airstrikes.
140190	142030	Over 2,000 people have been injured.
142030	146190	They said power cuts were widespread and were posing a major challenge for medical
146190	146730	workers.
147090	150210	Hamas said it had fired a new barrage of missiles into Israel.
150710	155710	Three US air carriers, as well as Air France, Lufthansa and Emirates, have suspended
155710	157070	flights to Tel Aviv.
158130	161870	The United States says it's sending immediate extra munitions to Israel.
162010	166410	The Pentagon also announced it was deploying naval vessels, including an aircraft carrier,
166510	167790	to the eastern Mediterranean.
168350	170730	More from Barbara Plattusher in Washington.
171150	175450	The large deployment underscores American concerns that the conflict between Israel
175450	177950	and Hamas could draw in other parts of the region.
178390	182430	They're sending an aircraft carrier with a deck of warplanes, accompanied by cruisers
182430	183410	and destroyers.
183550	186290	Also extra military assistance, such as munitions.
186610	190850	In particular, they want to prevent Lebanon's powerful Hezbollah movement from joining
190850	191350	the fight.
191490	195030	It's backed by Iran, which also funds and arms Hamas.
195530	200470	There are reports that Iran helped organize the unprecedented attack, although the Secretary
200470	204690	of State Antony Blinken said the US hasn't seen evidence to confirm that.
205130	210350	The UN Security Council has held an emergency closed-door session to discuss the crisis.
210930	215530	The UN Middle East envoy called on countries to exert diplomatic efforts to restore
215530	215990	calm.
216410	218330	More from Neda Taufiq in New York.
218970	221930	Council members did not attempt to reach agreement on a statement.
222270	224290	Not all, but many, condemned Hamas.
224730	229810	The UAE's ambassador to the UN, Lanin Acebe, told reporters there was real concern
229810	232570	that tensions in the region could become inflamed.
232910	237610	Before the meeting, Israel's ambassador to the UN, Gilad Erdan, showed graphic pictures
237610	240910	of Israeli civilians being taken captive by Hamas.
241190	246590	The Palestinian UN ambassador, Riyad Mansour, told reporters he'd requested an emergency
246590	249010	meeting of Arab League states in Cairo.
249630	251730	BBC World News.
252790	258930	An independent inquiry in the UK will begin hearings today into allegations that British
258930	264030	special forces killed dozens of unarmed civilians, including children, in Afghanistan.
264810	269230	The inquiry was set up by the British government after legal action was brought by two Afghan
269230	269850	families.
271170	275750	The US Senate Majority Leader Chuck Schumer, who's leading a bipartisan delegation to
275750	278210	China, has met the Foreign Minister Wang Yi.
278790	282810	Mr Schumer is the latest high-level American official to visit, as Washington seeks
282810	284370	to ease tensions with Beijing.
285630	290950	Regional elections in two of Germany's largest and wealthiest states, Bavaria and Hesse,
291390	295330	have dealt a blow to the parties that form the centre-left federal government.
295710	300090	Provisional results show losses for the Social Democrats, the Greens and the Liberal
300090	300990	Free Democrats.
301550	304230	The Christian Democrats again emerge as the largest party.
305450	310090	The president of Ecuador has extended the state of emergency by 30 days.
310090	314710	It's been in place since the assassination in August of the anti-corruption presidential
314710	317170	candidate Fernando Villavicencio.
