start	end	text
0	6420	Hi, I'm Tiara Vianne. KJZZ's audio service is supported by 1AZ Credit Union.
6720	12140	1AZ offers tools to help build personal savings, including traditional savings accounts and
12140	16040	share certificates. Learn more at 1azcu.com.
17180	26480	This morning, we're hearing at least 700 people are killed on the Israeli side with
26480	31540	more than 400 Palestinians dead in Gaza. We hear from a woman in Gaza.
31860	37500	The last couple of days were harrowing and the airstrikes were very frequent and huge.
38300	44000	Gaza is a very highly dense populated area with each and every missile very impactful
44000	49580	and damaging. In Israel, rescuers say they found 260 bodies
49580	53240	at the site of a music festival, the first site attacked by Hamas.
53240	58060	We'll bring you the story of one family that is looking for their loved ones that has been
58060	62340	taken hostage by the Hamas militants. And in other news, we'll go to Afghanistan
62340	65860	where an earthquake has killed more than 2,000 people.
66060	69940	Rescue efforts are continuing. But first, we're getting a bulletin of world news.
73810	76730	This is Danielle Yawowieczka with the BBC News.
77590	82950	The Israeli military says its fighter jets, helicopters and artillery have struck over
82950	88850	500 targets overnight in the Gaza Strip. Operations are continuing against Palestinian
88850	94350	Hamas militants in several locations inside Israel, two days after they carried out their
94350	98410	devastating mass assault. More than 700 Israelis have been killed.
98850	102570	John Donison is in Jerusalem. The Israeli military says it has
102570	106490	continued to target Hamas infrastructure with airstrikes overnight.
107110	111830	The United Nations says more than 120,000 Gazans have now been displaced,
111830	117330	with many seeking shelter in UN schools. But most believe this is just the beginning.
117910	123470	Israel is massing its forces around Gaza and says it has called up around 100,000 army
123470	127810	reservists. Palestinians are bracing themselves for a possible ground invasion,
128290	133330	with Israel saying its aim is to rescue hostages and remove Hamas from power in Gaza.
133970	138670	Health officials in Gaza say more than 400 Palestinians have been killed so far by
138670	141990	Israeli airstrikes. Over 2,000 people have been injured.
142550	146590	They said power cuts were widespread and were posing a major challenge for medical workers.
147010	150130	Hamas said it had fired a new barrage of missiles into Israel.
150730	154830	Three US air carriers, as well as Air France, Lufthansa and Emirates,
155010	159790	have suspended flights to Tel Aviv. The United States says it's sending
159790	164010	immediate extra munitions to Israel. The Pentagon also announced it was deploying
164010	167710	naval vessels, including an aircraft carrier, to the eastern Mediterranean.
167710	170690	More from Barbara Platasha in Washington.
204130	210210	The UN Security Council has held an emergency closed-door session to discuss the crisis.
210810	215930	The UN Middle East envoy called on countries to exert diplomatic efforts to restore calm.
216490	218270	More from Neda Tawfiq in New York.
218730	221830	Council members did not attempt to reach agreement on a statement.
222290	226450	Not all but many condemned Hamas. The UAE's ambassador to the UN,
226450	232510	told reporters there was real concern that tensions in the region could become inflamed.
232830	236110	Before the meeting, Israel's ambassador to the UN, Gilad Erdan,
236430	240750	showed graphic pictures of Israeli civilians being taken captive by Hamas.
