start	end	text
0	6300	Hi, I'm Tiara Vayan. KJZZ's audio service is supported by 1AZ Credit Union.
6660	12820	1AZ offers tools to help build personal savings, including traditional savings accounts and share certificates.
13420	16220	Learn more at 1AZCU.com.
20660	29500	This morning, we're hearing at least 700 people are killed on the Israeli side with more than 400 Palestinians dead in Gaza.
31300	37420	The last couple of days were harrowing and the air strikes were very frequent and huge.
38020	44960	Gaza is a very highly dense populated area with each and every missile very impactful and damaging.
45600	53280	In Israel, rescuers say they found 260 bodies at the site of a music festival, the first site attacked by Hamas.
53280	60240	We'll bring you the story of one family that is looking for their loved ones that has been taken hostage by the Hamas militants.
60640	65760	And in other news, we'll go to Afghanistan, where an earthquake has killed more than 2,000 people.
66300	69860	Rescue efforts are continuing, but first we're getting a bulletin of world news.
73550	76970	This is Danielle Yauvetska with the BBC News. Hello.
77750	85490	The Israeli military says its fighter jets, helicopters and artillery have struck over 500 targets overnight in the Gaza Strip.
85490	95650	Operations are continuing against Palestinian Hamas militants in several locations inside Israel, two days after they carried out their devastating mass assault.
96290	100110	More than 700 Israelis have been killed. John Donison is in Jerusalem.
100890	106450	The Israeli military says it has continued to target Hamas infrastructure with air strikes overnight.
107030	114470	The United Nations says more than 120,000 Gazans have now been displaced, with many seeking shelter in UN schools.
114470	123720	But most believe this is just the beginning. Israel is massing its forces around Gaza and says it has called up around 100,000 army reservists.
124530	133150	Palestinians are bracing themselves for a possible ground invasion, with Israel saying its aim is to rescue hostages and remove Hamas from power in Gaza.
133850	139710	Health officials in Gaza say more than 400 Palestinians have been killed so far by Israeli air strikes.
139710	146490	Over 2,000 people have been injured. They said power cuts were widespread and were posing a major challenge for medical workers.
146870	150090	Hamas said it had fired a new barrage of missiles into Israel.
150650	156610	Three U.S. air carriers as well as Air France, Lufthansa and Emirates have suspended flights to Tel Aviv.
157630	161730	The United States says it is sending immediate extra munitions to Israel.
161730	167650	The Pentagon also announced it was deploying naval vessels, including an aircraft carrier, to the eastern Mediterranean.
168270	170450	More from Barbara Plattasha in Washington.
171270	177790	The large deployment underscores American concerns that the conflict between Israel and Hamas could draw in other parts of the region.
178210	183230	They're sending an aircraft carrier with a deck of warplanes, accompanied by cruisers and destroyers.
183470	186010	Also, extra military assistance, such as munitions.
186590	191230	In particular, they want to prevent Lebanon's powerful Hezbollah movement from joining the fight.
191230	194830	It's backed by Iran, which also funds and arms Hamas.
195390	199070	There are reports that Iran helped organize the unprecedented attack.
199530	203950	Although the Secretary of State Antony Blinken said the U.S. hasn't seen evidence to confirm that.
204610	210050	The U.N. Security Council has held an emergency closed door session to discuss the crisis.
210790	215910	The U.N. Middle East envoy called on countries to exert diplomatic efforts to restore calm.
215910	218150	More from Netta Taufika, New York.
218590	221730	Council members did not attempt to reach agreement on a statement.
222210	224050	Not all, but many condemned Hamas.
224610	232410	The UAE's ambassador to the U.N., Lana Nasebe, told reporters there was real concern that tensions in the region could become inflamed.
232790	235970	Before the meeting, Israel's ambassador to the U.N., Gilad Erdan,
236390	240770	showed graphic pictures of Israeli civilians being taken captive by Hamas.
240770	248650	The Palestinian U.N. ambassador, Riyad Mansour, told reporters he'd requested an emergency meeting of Arab League states in Cairo.
249570	251130	BBC World News
252330	263750	An independent inquiry in the U.K. will begin hearings today into allegations that British special forces killed dozens of unarmed civilians including children in Afghanistan.
264690	269590	The inquiry was set up by the British government after legal action was brought by two Afghan families.
270590	277970	The U.S. Senate Majority Leader Chuck Schumer, who's leading a bipartisan delegation to China, has met the foreign minister Wang Yi.
278610	284130	Mr. Schumer is the latest high-level American official to visit as Washington seeks to ease tensions with Beijing.
285530	290770	Regional elections in two of Germany's largest and wealthiest states, Bavaria and Hesse,
291250	295070	have dealt a blow to the parties that form the center-left federal government.
295070	300770	Provisional results show losses for the Social Democrats, the Greens and the Liberal Free Democrats.
301430	304030	The Christian Democrats again emerge as the largest party.
305370	309850	The president of Ecuador has extended the state of emergency by 30 days.
310210	316750	It's been in place since the assassination in August of the anti-corruption presidential candidate Fernando Villavicencio.
317310	322110	The extension comes just days after seven Colombians arrested over the killing were found dead in prison.
323010	330070	A horde of coins believed to have belonged to a Highland clan chief who was murdered more than 300 years ago has been found in Scotland.
330710	332110	Alexandra McKenzie reports.
332990	339110	The archaeology team from Glasgow University said this was the first major excavation in Glencoe.
339330	344550	The dig focused on scattered rocks believed to have been the McDonald's clan chief's summer house.
344790	348270	More than 300 years after he died in the Glencoe massacre,
348270	353210	an archaeology student taking part in her first ever dig found the horde.
353530	359110	The University of Glasgow said the discovery contained 36 silver and bronze coins.
359510	365210	A number of other artefacts were also discovered at the site, including a musket and fouling shot,
365550	368430	pottery from across Europe and a powder major.
369370	370330	BBC News.
373890	375450	Thank you for that bulletin of news.
375450	379870	Hello, you're with Newsday from the BBC World Service with Victoria Wohunder and Rob Young.
380070	384430	Coming up this half hour, we're going to continue to focus on the conflict between Israel and Gaza
384430	389950	with voices from both sides and that will get all your sports and business headlines to.
394550	402110	We are starting with the latest development in Israel and Gaza as the numbers of those killed on both sides goes up by the hour.
402110	409370	The Israeli military says that at least 700 people have died in the attacks overall with more than 2,000 injured.
409690	414990	The rescuers say that they found 260 bodies at the site of a music festival
414990	419550	attacked by Hamas militants in the unprecedented assault on Saturday morning.
419990	427650	The wave of attacks launched by the Hamas militant group is being described as the biggest escalation between the two sides for decades.
427650	436590	In retaliation, Israel launched airstrikes that have killed at least 400 people in the Gaza Strip with more than 2,000 wounded,
436930	439820	according to the latest update from the Palestinian officials.
440810	444970	Video images show many buildings being blown up in large-scale distraction.
445570	450730	Shops are closed, the streets are empty, the city is said to be like a ghost town.
451130	457430	According to the United Nations, 123,000 Palestinians have not been displaced in Gaza
457430	463010	because of the airstrikes and many Palestinians say they are now living in fear of their lives.
463190	466310	In the last hour, we got this voice note from a resident in Gaza.
467050	472990	The last couple of days were harrowing and the airstrikes were very frequent and huge.
473550	480930	Gaza is a very highly dense populated area with very limited geographical area,
480930	487250	like with over 2 million people living in 360 kilometers square,
487910	492470	which make each and every missile dropped very impactful and damaging.
493390	500390	The offensive launched from Gaza can only be understood in the context of the Israeli ongoing
500840	506350	decades-long military occupation and settler colonization of Palestinian land
506350	513630	and the imposition of a system of oppression that meets the legal definition of apartheid.
514170	524150	Meanwhile, Israel also has maintained a brutal plocate on Gaza for 17 years against Palestinians,
526830	534170	refusing its population access to basic supplies and material needs to survive
534170	543270	and trapping them in amounts to an open-air prison with restrictions on right to movement,
