start	end	text
0	1760	Hi, I'm Tiara Vayan.
2260	6300	KJZZ's audio service is supported by 1AZ Credit Union.
6660	9560	1AZ offers tools to help build personal savings,
9880	12840	including traditional savings accounts and share certificates.
13440	16240	Learn more at 1AZCU.com.
20660	26240	This morning, we're hearing at least 700 people are killed on the Israeli side
26240	29500	with more than 400 Palestinians dead in Gaza.
29500	31300	We hear from a woman in Gaza.
31840	37420	The last couple of days were harrowing and the air strikes were very frequent and huge.
38020	44940	Gaza is a very highly dense populated area with each and every missile very impactful and damaging.
45600	51120	In Israel, rescuers say they found 260 bodies at the site of a music festival,
51280	53280	the first site attacked by Hamas.
53540	57360	We'll bring you the story of one family that is looking for their loved ones
57360	60320	that has been taken hostage by the Hamas militants.
60600	65760	And another news will go to Afghanistan, where an earthquake has killed more than 2,000 people.
66300	69880	Rescue efforts are continuing, but first we're getting a bulletin of world news.
73490	76990	This is Danielle Yauvetska with the BBC News. Hello.
77750	81670	The Israeli military says its fighter jets, helicopters and artillery
81670	85590	have struck over 500 targets overnight in the Gaza Strip.
85590	92030	Operations are continuing against Palestinian Hamas militants in several locations inside Israel
92030	95650	two days after they carried out their devastating mass assault.
96290	98330	More than 700 Israelis have been killed.
98850	100130	John Donison is in Jerusalem.
100830	106450	The Israeli military says it has continued to target Hamas infrastructure with air strikes overnight.
107030	111690	The United Nations says more than 120,000 gardens have now been displaced
111690	114490	with many seeking shelter in UN schools.
114490	117250	But most believe this is just the beginning.
117730	124070	Israel is massing its forces around Gaza and says it has called up around 100,000 army reservists.
124530	127670	Palestinians are bracing themselves for a possible ground invasion.
128210	133130	With Israel saying its aim is to rescue hostages and remove Hamas from power in Gaza.
133690	138310	Health officials in Gaza say more than 400 Palestinians have been killed so far
138310	141910	by Israeli air strikes. Over 2,000 people have been injured.
141910	146490	They said power cuts were widespread and were posing a major challenge for medical workers.
146910	150070	Hamas said it had fired a new barrage of missiles into Israel.
150630	156610	Three US air carriers as well as Air France, Lufthansa and Emirates have suspended flights to Tel Aviv.
157550	161730	The United States says it is sending immediate extra munitions to Israel.
162010	167550	The Pentagon also announced it was deploying naval vessels including an aircraft carrier to the eastern Mediterranean.
168230	170430	More from Barbara Plattasha in Washington.
170430	175930	The large deployment underscores American concerns that the conflict between Israel and Hamas
175930	177830	could draw in other parts of the region.
178250	183250	They're sending an aircraft carrier with a deck of warplanes accompanied by cruisers and destroyers.
183470	185990	Also extra military assistance such as munitions.
186550	191230	In particular they want to prevent Lebanon's powerful Hezbollah movement from joining the fight.
191510	194810	It's backed by Iran which also funds and arms Hamas.
195350	199070	There are reports that Iran helped organize the unprecedented attack.
199070	203970	Although the Secretary of State Antony Blinken said the US hasn't seen evidence to confirm that.
204830	210070	The UN Security Council has held an emergency closed door session to discuss the crisis.
210790	215870	The UN Middle East envoy called on countries to exert diplomatic efforts to restore calm.
216270	218130	More from Netta Taufiq in New York.
218610	221730	Council members did not attempt to reach agreement on a statement.
222210	224010	Not all but many condemned Hamas.
224010	232430	The UAE's ambassador to the UN, Lana Nusebe, told reporters there was real concern that tensions in the region could become inflamed.
232850	240690	Before the meeting, Israel's ambassador to the UN, Gilad Erdan, showed graphic pictures of Israeli civilians being taken captive by Hamas.
241150	248650	The Palestinian UN ambassador, Riyad Mansour, told reporters he'd requested an emergency meeting of Arab League states in Cairo.
249430	251150	BBC World News.
252330	263770	An independent inquiry in the UK will begin hearings today into allegations that British Special Forces killed dozens of unarmed civilians including children in Afghanistan.
264730	269590	The inquiry was set up by the British government after legal action was brought by two Afghan families.
270950	278010	The US Senate Majority Leader Chuck Schumer, who's leading a bipartisan delegation to China, has met the Foreign Minister Wang Yi.
278010	284130	Mr Schumer is the latest high-level American official to visit as Washington seeks to ease tensions with Beijing.
285550	295070	Regional elections in two of Germany's largest and wealthiest states, Bavaria and Hesse, have dealt a blow to the parties that form the centre-left federal government.
295570	300790	Provisional results show losses for the Social Democrats, the Greens and the Liberal Free Democrats.
301390	304030	The Christian Democrats again emerge as the largest party.
304890	309870	The president of Ecuador has extended the state of emergency by 30 days.
310210	316750	It's been in place since the assassination in August of the anti-corruption presidential candidate Fernando Villavicencio.
317410	322110	The extension comes just days after seven Colombians arrested over the killing were found dead in prison.
323470	330090	A horde of coins believed to have belonged to a Highland clan chief who was murdered more than 300 years ago has been found in Scotland.
330710	332090	Alexandra McKenzie reports.
332830	339130	The archaeology team from Glasgow University said this was the first major excavation in Glencoe.
339350	344550	The dig focused on scattered rocks believed to have been the McDonald clan chief's summer house.
344810	353170	More than 300 years after he died in the Glencoe massacre, an archaeology student taking part in her first-ever dig found the horde.
353170	359110	The University of Glasgow said the discovery contained 36 silver and bronze coins.
359490	368430	A number of other artefacts were also discovered at the site, including a musket and fouling shot, pottery from across Europe and a powder major.
369170	370290	BBC News
394230	402130	We are starting with the latest development in Israel in Gaza as the numbers of those killed on both sides goes up by the hour.
402550	409370	The Israeli military says that at least 700 people have died in the attacks overall, with more than 2,000 injured.
409370	419570	The rescuers say that they found 260 bodies at the site of a music festival attacked by Hamas militants in the unprecedented assault on Saturday morning.
420010	427670	The wave of attacks launched by the Hamas militant group is being described as the biggest escalation between the two sides for decades.
427670	439810	In retaliation, Israel launched airstrikes that have killed at least 400 people in the Gaza Strip, with more than 2,000 wounded, according to the latest update from the Palestinian officials.
440810	450730	Video images show many buildings being blown up in large-scale destruction, shops are closed, the streets are empty, the city is said to be like a ghost town.
450730	462990	According to the United Nations, 123,000 Palestinians have now been displaced in Gaza because of the airstrikes, and many Palestinians say they are now living in fear of their lives.
463150	466370	In the last hour, we got this voice note from a resident in Gaza.
