start	end	text
0	6340	Hi, I'm Tiara Vayan. KJZZ's audio service is supported by 1AZ Credit Union.
6760	12860	1AZ offers tools to help build personal savings, including traditional savings accounts and share certificates.
13520	16300	Learn more at 1azcu.com.
20460	29560	This morning, we're hearing at least 700 people are killed on the Israeli side with more than 400 Palestinians dead in Gaza.
29560	31420	We hear from a woman in Gaza.
32040	37440	The last couple of days were harrowing and the airstrikes were very frequent and huge.
38320	45020	Gaza's very highly-dense populated area with each and every missile very impactful and damaging.
45820	53140	In Israel, rescuers say they found 260 bodies at the site of a music festival, the first site attacked by Hamas.
53140	60120	We'll bring you the story of one family that is looking for their loved ones that has been taken hostage by the Hamas militants.
60820	67520	And in other news, we'll go to Afghanistan, where an earthquake has killed more than 2,000 people. Rescue efforts are continuing.
67820	69900	But first, we're getting a bulletin of World News.
73730	77010	This is Danielle Yawovieczka with the BBC News. Hello.
77010	85570	The Israeli military says its fighter jets, helicopters and artillery have struck over 500 targets overnight in the Gaza Strip.
86490	95610	Operations are continuing against Palestinian Hamas militants in several locations inside Israel two days after they carried out their devastating mass assault.
96370	100170	More than 700 Israelis have been killed. John Donison is in Jerusalem.
100170	106450	The Israeli military says it has continued to target Hamas infrastructure with airstrikes overnight.
107130	114470	The United Nations says more than 120,000 Gazans have now been displaced, with many seeking shelter in UN schools.
115150	124070	But most believe this is just the beginning. Israel is massing its forces around Gaza and says it has called up around 100,000 army reservists.
124070	133170	Palestinians are bracing themselves for a possible ground invasion, with Israel saying its aim is to rescue hostages and remove Hamas from power in Gaza.
134130	141950	Health officials in Gaza say more than 400 Palestinians have been killed so far by Israeli airstrikes. Over 2,000 people have been injured.
142550	150090	They said power cuts were widespread and were posing a major challenge for medical workers. Hamas said it had fired a new barrage of missiles into Israel.
150090	156590	Three U.S. air carriers, as well as Air France, Lufthansa and Emirates, have suspended flights to Tel Aviv.
158090	167570	The United States says it's sending immediate extra munitions to Israel. The Pentagon also announced it was deploying naval vessels, including an aircraft carrier to the eastern Mediterranean.
168350	170590	More from Barbara Plattuscher in Washington.
170950	177790	The large deployment underscores American concerns that the conflict between Israel and Hamas could draw in other parts of the region.
177790	185990	They're sending an aircraft carrier with a deck of warplanes accompanied by cruisers and destroyers, also extra military assistance, such as munitions.
186610	194610	In particular, they want to prevent Lebanon's powerful Hezbollah movement from joining the fight. It's backed by Iran, which also funds and arms Hamas.
195490	204010	There are reports that Iran helped organize the unprecedented attack, although the Secretary of State Antony Blinken said the U.S. hasn't seen evidence to confirm that.
204770	210130	The U.N. Security Council has held an emergency closed-door session to discuss the crisis.
210850	215830	The U.N. Middle East envoy called on countries to exert diplomatic efforts to restore calm.
216350	218170	More from Neder Taufik in New York.
218570	223990	Council members did not attempt to reach agreement on a statement. Not all, but many, condemned Hamas.
224670	232430	The UAE's ambassador to the U.N., Lana Nasebe, told reporters there was real concern that tensions in the region could become inflamed.
232430	240650	Before the meeting, Israel's ambassador to the U.N., Gilad Erdan, showed graphic pictures of Israeli civilians being taken captive by Hamas.
241150	248630	The Palestinian U.N. ambassador, Riyadh Mansour, told reporters he'd requested an emergency meeting of Arab League states in Cairo.
264050	269690	The inquiry was set up by the British government after legal action was brought by two Afghan families.
271190	277990	The U.S. Senate Majority Leader Chuck Schumer, who's leading a bipartisan delegation to China, has met the Foreign Minister Wang Yi.
278770	284230	Mr. Schumer is the latest high-level American official to visit, as Washington seeks to ease tensions with Beijing.
285490	295070	Regional elections in two of Germany's largest and wealthiest states, Bavaria and Hesse, have dealt a blow to the parties that form the center-left federal government.
295830	300850	Provisional results show losses for the Social Democrats, the Greens and the liberal Free Democrats.
301390	304090	The Christian Democrats again emerge as the largest party.
304930	309950	The president of Ecuador has extended the state of emergency by 30 days.
310310	316770	It's been in place since the assassination in August of the anti-corruption presidential candidate Fernando Villarricencio.
317370	322130	The extension comes just days after seven Colombians arrested over the killing were found dead in prison.
323630	330130	A hoard of coins believed to have belonged to a Highland clan chief, who was murdered more than 300 years ago, has been found in Scotland.
330870	332110	Alexandra Mackenzie reports.
332790	338970	The archaeology team from Glasgow University said this was the first major excavation in Glencoe.
339290	344530	The dig focused on scattered rocks believed to have been the McDonald clan chief's summer house.
344810	353130	More than 300 years after he died in the Glencoe massacre, an archaeology student taking part in her first-ever dig found the hoard.
