start	end	text
0	16440	Hi, I'm Tiara Vayan. KJZZ's audio service is supported by 1AZ Credit Union. 1AZ offers tools to help build personal savings, including traditional savings accounts, and share certificates. Learn more at 1AZCU.com.
16740	18760	Victoria Wohunda and Rob Young.
21020	29540	This morning, we're hearing at least 700 people are killed on the Israeli side, with more than 400 Palestinians dead in Gaza.
29540	31380	We hear from a woman in Gaza.
31620	37480	The last couple of days were harrowing, and the airstrikes were very frequent and huge.
38080	44960	Gaza's very highly dense populated area, with each and every missile very impactful and damaging.
45500	53260	In Israel, rescuers say they found 260 bodies at the site of a music festival, the first site attacked by Hamas.
53420	57380	We'll bring you the story of one family that is looking for their loved ones
57380	60320	that has been taken hostage by the Hamas militants.
60700	65800	And in other news, we'll go to Afghanistan, where an earthquake has killed more than 2,000 people.
65980	67520	Rescue efforts are continuing.
67800	69880	But first, we're getting a bulletin of world news.
77110	85630	The Israeli military says its fighter jets, helicopters and artillery have struck over 500 targets overnight in the Gaza Strip.
85830	92070	Operations are continuing against Palestinian Hamas militants in several locations inside Israel,
92210	95690	two days after they carried out their devastating mass assault.
95950	98350	More than 700 Israelis have been killed.
98630	100230	John Donison is in Jerusalem.
100230	106450	The Israeli military says it has continued to target Hamas infrastructure, with airstrikes overnight.
106830	111750	The United Nations says more than 120,000 Gazans have now been displaced,
112030	114550	with many seeking shelter in UN schools.
114750	117270	But most believe this is just the beginning.
117690	124050	Israel is massing its forces around Gaza, and says it has called up around 100,000 army reservists.
124430	127710	Palestinians are bracing themselves for a possible ground invasion,
127710	133210	with Israel saying its aim is to rescue hostages and remove Hamas from power in Gaza.
133550	139750	Health officials in Gaza say more than 400 Palestinians have been killed so far by Israeli airstrikes.
139950	141890	Over 2,000 people have been injured.
142170	146570	They said power cuts were widespread and were posing a major challenge for medical workers.
146830	150110	Hamas said it had fired a new barrage of missiles into Israel.
150110	156710	Three U.S. air carriers, as well as Air France, Lufthansa and Emirates, have suspended flights to Tel Aviv.
157550	161750	The United States says it's sending immediate extra munitions to Israel.
161950	167630	The Pentagon also announced it was deploying naval vessels, including an aircraft carrier, to the eastern Mediterranean.
167970	170550	More from Barbara Pletasha in Washington.
170550	177810	The large deployment underscores American concerns that the conflict between Israel and Hamas could draw in other parts of the region.
178010	183210	They're sending an aircraft carrier with a deck of warplanes, accompanied by cruisers and destroyers.
183410	186090	Also extra military assistance, such as munitions.
186450	191250	In particular, they want to prevent Lebanon's powerful Hezbollah movement from joining the fight.
191410	194850	It's backed by Iran, which also funds and arms Hamas.
194850	199110	There are reports that Iran helped organize the unprecedented attack,
199350	203990	although the Secretary of State Antony Blinken said the U.S. hasn't seen evidence to confirm that.
204490	210090	The U.N. Security Council has held an emergency closed-door session to discuss the crisis.
210430	215850	The U.N. Middle East envoy called on countries to exert diplomatic efforts to restore calm.
216110	218170	More from Neda Taufik in New York.
218410	221790	Council members did not attempt to reach agreement on a statement.
222130	224150	Not all, but many condemned Hamas.
224150	229690	The UAE's ambassador to the U.N., Lana Nusebe, told reporters there was real concern
229690	232410	that tensions in the region could become inflamed.
232590	236050	Before the meeting, Israel's ambassador to the U.N., Gilad Erdogan,
236210	240810	showed graphic pictures of Israeli civilians being taken captive by Hamas.
241010	245630	The Palestinian U.N. ambassador, Riyad Mansour, told reporters he'd requested
245630	248710	an emergency meeting of Arab League states in Cairo.
249330	251090	BBC World News.
252350	258770	An independent inquiry in the U.K. will begin hearings today into allegations that British
258770	263810	special forces killed dozens of unarmed civilians, including children, in Afghanistan.
264290	269630	The inquiry was set up by the British government after legal action was brought by two Afghan families.
270590	276070	The U.S. Senate Majority Leader Chuck Schumer, who's leading a bipartisan delegation to China,
276310	277970	has met the Foreign Minister Wang Yi.
278710	284250	Mr. Schumer is the latest high-level American official to visit as Washington seeks to ease tensions with Beijing.
285550	289610	Regional elections in two of Germany's largest and wealthiest states,
289610	295090	Bavaria and Hesse, have dealt a blow to the parties that form the centre-left federal government.
295610	300810	Provisional results show losses for the Social Democrats, the Greens and the Liberal Free Democrats.
301130	304090	The Christian Democrats again emerge as the largest party.
304870	309970	The president of Ecuador has extended the state of emergency by 30 days.
310270	315150	It's been in place since the assassination in August of the anti-corruption presidential candidate,
